gap,Iz klopi - nerazumljivo.
gap,Iz klopi - se slabo sliši
gap,Se ne sliši dobro.
gap,Govorjenje v dvorani.
gap,Nekdo se oglasi iz dvorane - se ne sliši.
gap,"Čita iz klopi, se ne sliši."
gap,"Iz klopi nekdo prosi, da naj predsednik prebere 362. člen."
gap,Dialog v klopi.
gap,Govorjenje iz klopi. Se ne sliši.
gap,Intervencija iz dvorane
gap,Oglašanje iz dvorane.
gap,Nekdo se oglaša iz klopi
gap,Intervencija iz dvorane.
gap,Pojasnilo iz klopi.
gap,Tiho dogovarjanje.
gap,Iz klopi nekdo nekaj sporoča.
gap,Ponovno nekaj sporoča iz klopi.
gap,Intervencija iz dvorane - ne sliši se.
gap,Nek glas iz dvorane
gap,"-pojasnilo predsednika zbora, da je tudi Zbor združenega dela lahko jutri-"
gap,Iz klopi - ne sliši se.
gap,Glasovi iz dvorane.
gap,Tiho posvetovanje.
gap,Oglašanje iz dvorane.
gap,Nekdo se oglasi iz dvorane.
gap,Glas iz klopi.
gap,Nekdo iz dvorane.
gap,"pripombe iz klopi, dialog"
gap,Nekdo ima pripombo iz klopi.
gap,iz klopi ima nekdo neko pripombo
gap,Glas iz klopi - se ne razume.
gap,Glas iz klopi nekaj pojasnjuje. Se ne razume.
gap,Nekdo govori iz klopi.
gap,Nekdo nekaj sprašuje
gap,Nekdo iz klopi nekaj sprašuje.
gap,iz klopi nekdo govori
gap,posvetovanje
gap,Intervencija oziroma vprašanje iz dvorane.
gap,Govor iz klopi - ne sliši se.
gap,Nekdo se oglasi iz dvorane - se ne sliši.
gap,iz klopi ima nekdo pripombo
gap,nekdo govori iz klopi
gap,Nekdo govori iz klopi - se ne razume.
gap,Vmes nekdo iz klopi - se ne razume.
gap,Govorjenje iz klopi.
gap,pripombe iz klopi
gap,Tiho pogovarjanje.
gap,Odgovor iz klopi. Se ne razume.
gap,"Pripomba iz klopi, ki se ne sliši."
gap,Neko vprašanje iz klopi.
gap,Posvetovanje.
gap,Posvetovanje.
gap,Glasovi iz dvorane.
gap,nerazumljivo
gap,Glasovi iz dvorane.
gap,Reakcija iz dvorane.
gap,Iz dvorane.
gap,Odgovor iz dvorane.
gap,nerazumljivo
gap,Pripomba iz klopi.
gap,Nekaj reče iz klopi.
gap,"Iz klopi nekdo nekaj sprašuje, ne razume se."
gap,kratka prekinitev
gap,Pripomba iz klopi.
gap,Pripomba iz klopi.
gap,Pripomba iz klopi.
gap,Pripomba iz klopi.
gap,zopet pripomba iz klopi.
gap,nekdo iz dvorane - se ne sliši
gap,Prekinitev na traku.
gap,Nekdo govori iz klopi.
gap,Odgovarja nazaj.
gap,Še nekdo ima pripombo.
gap,Odgovarja nazaj.
gap,Odgovarja nazaj.
gap,iz klopi: nerazumljivo.
gap,govori iz klopi nerazumljivo.
gap,Tiho posvetovanje.
gap,Glasovi iz klopi - se ne razume.
gap,"Intervencija, verjetno dr. Buserja iz dvorane - se ne sliši."
gap,"ugotavljanje, dogovarjanje."
gap,Iz klopi govori dr. Stanko Buser.
gap,Nekaj reakcije iz dvorane - ne sliši se.
gap,Oglašanje iz dvorane - ne sliši se.
gap,Razprava v dvorani.
gap,Ni vključen.
gap,Nerazumljivo.
gap,nerazumljiva beseda
gap,"....(govori nekdo, ki ni vključen."
gap,govori iz klopi
gap,Nerazumljivo iz klopi: ...
gap,Oglašanje iz dvorane.
gap,Govorjenje iz klopi - ne sliši se.
gap,Intervencija iz dvorane - ne sliši se.
gap,Oglašanje iz dvorane.
gap,nerazločno
gap,nerazločno
gap,Oglašanje iz dvorane.
gap,Iz dvorane.
gap,Posvet v delovnem predsedstvu
gap,Dr. Katja Boh: iz dvorane.
gap,Govorjenje v dvorani - ne sliši se.
gap,Emil Milan Pintar iz dvorane - ne sliši se.
gap,Nekdo govori iz klopi.
gap,Nekdo iz dvorane.
gap,Nekdo iz dvorane.
gap,Nerazumljivo.
gap,Glasovi iz dvorane.
gap,Govorjenje iz klopi - se ne razume.
gap,Nekdo govori iz klopi - se ne razume.
gap,Nekdo iz dvorane - slabo se razume: ...za Grosa...
gap,Govorjenje iz klopi.
gap,Nekdo iz klopi - ne razume se.
